skill_id,skill_name,description,triggers_json,prompt_refs_json,knowledge_categories_json,required_inputs_json,outputs_json,handoff_to_json,enabled
SK_OCR_01,媒体判定・前処理,媒体種別、回転、分割、前処理フラグを確定する。,"[""図面OCR"", ""PDF判定"", ""画像前処理""]","[""PRM_001""]","[""媒体ルーティング"", ""OCR/CV処理""]","[""file_meta"", ""page_preview""]","[""source_media_type"", ""preferred_pipeline"", ""page_rotation_deg"", ""preprocess_flags""]","[""SK_OCR_02""]",true
SK_OCR_02,表題欄・シートメタデータ抽出,図面番号・図面名称・縮尺・改訂・棟工区を抽出する。,"[""表題欄"", ""図面番号"", ""図面名"", ""改訂""]","[""PRM_002""]","[""シートメタデータ""]","[""sheet_region"", ""optional_index_sheet""]","[""drawing_no"", ""drawing_title"", ""sheet_scale"", ""revision"", ""discipline""]","[""SK_OCR_03""]",true
SK_OCR_03,シート分類,図面を建築/構造/電気/機械/土木系へ分類する。,"[""平面図判定"", ""断面図判定"", ""系統図判定""]","[""PRM_003""]","[""建築図"", ""構造図"", ""電気設備図"", ""機械設備図"", ""土木・道路・造成図""]","[""sheet_text"", ""sheet_image"", ""titleblock_meta""]","[""sheet_type_id"", ""discipline""]","[""SK_OCR_04"", ""SK_OCR_05""]",true
SK_OCR_04,単位・縮尺・方位解決,単位、縮尺、方位、視点方向を固定する。,"[""縮尺読取"", ""単位判定"", ""方位判定""]","[""PRM_004""]","[""単位・縮尺・方位""]","[""sheet_type"", ""titleblock_meta"", ""dimension_samples""]","[""length_unit"", ""sheet_scale_ratio"", ""view_direction""]","[""SK_OCR_05"", ""SK_OCR_06"", ""SK_OCR_07"", ""SK_OCR_08"", ""SK_OCR_09"", ""SK_OCR_10""]",true
SK_OCR_05,凡例・略号・材料辞書解決,凡例優先で記号・略号・材料コードを正規化する。,"[""凡例"", ""略号"", ""材料コード""]","[""PRM_005""]","[""凡例・略号・材料辞書""]","[""legend_region"", ""ocr_blocks""]","[""legend_dictionary"", ""normalized_terms"", ""unknown_terms""]","[""SK_OCR_06"", ""SK_OCR_07"", ""SK_OCR_08"", ""SK_OCR_09"", ""SK_OCR_10""]",true
SK_OCR_06,建築一般図抽出,室・壁・建具・仕上を抽出する。,"[""建築平面図"", ""立面図"", ""断面図"", ""建具表"", ""仕上表""]","[""PRM_006""]","[""建築図""]","[""sheet_image"", ""ocr_blocks"", ""legend_dictionary"", ""resolved_units""]","[""rooms"", ""walls"", ""doors"", ""windows"", ""finish_tags""]","[""SK_OCR_11"", ""SK_OCR_12"", ""SK_OCR_14""]",true
SK_OCR_07,構造図抽出,基礎、杭、部材、配筋、接合、貫通制約を抽出する。,"[""構造図"", ""配筋図"", ""鉄骨図""]","[""PRM_007""]","[""構造図""]","[""sheet_image"", ""ocr_blocks"", ""legend_dictionary"", ""resolved_units""]","[""foundations"", ""piles"", ""struct_members"", ""rebar_specs"", ""constraints""]","[""SK_OCR_11"", ""SK_OCR_12"", ""SK_OCR_14""]",true
SK_OCR_08,電気設備図抽出,器具、盤、回路、弱電、外灯を抽出する。,"[""電灯図"", ""動力図"", ""単線図"", ""火報図""]","[""PRM_008""]","[""電気設備図""]","[""sheet_image"", ""ocr_blocks"", ""legend_dictionary"", ""resolved_units""]","[""fixtures"", ""panels"", ""circuits"", ""site_electrical""]","[""SK_OCR_11"", ""SK_OCR_12"", ""SK_OCR_14""]",true
SK_OCR_09,機械設備図抽出,機器、配管、ダクト、バルブ、器具を抽出する。,"[""空調図"", ""換気図"", ""給排水図"", ""衛生器具図"", ""系統図""]","[""PRM_009""]","[""機械設備図""]","[""sheet_image"", ""ocr_blocks"", ""legend_dictionary"", ""resolved_units""]","[""equipment"", ""pipes"", ""ducts"", ""valves"", ""fixtures""]","[""SK_OCR_11"", ""SK_OCR_12"", ""SK_OCR_14""]",true
SK_OCR_10,土木・道路・造成図抽出,線形、縦断、横断、排水、舗装、造成要素を抽出する。,"[""道路平面図"", ""縦断面図"", ""横断面図"", ""排水施設図"", ""舗装構成図""]","[""PRM_010""]","[""土木・道路・造成図""]","[""sheet_image"", ""ocr_blocks"", ""legend_dictionary"", ""resolved_units""]","[""alignment"", ""profile_rows"", ""cross_sections"", ""drainage"", ""pavement_layers"", ""earthwork""]","[""SK_OCR_11"", ""SK_OCR_12"", ""SK_OCR_14""]",true
SK_OCR_11,改修・仮設解決,既存/撤去/新設/復旧と施工制約を識別する。,"[""改修図"", ""撤去図"", ""仮設計画図""]","[""PRM_011""]","[""改修・仮設""]","[""sheet_image"", ""ocr_blocks"", ""legend_dictionary"", ""sheet_type""]","[""state_rules"", ""temporary_constraints"", ""existing_links""]","[""SK_OCR_12"", ""SK_OCR_15""]",true
SK_OCR_12,図面間リンク・統合,複数図面を通り芯・室・符号・系統で統合する。,"[""図面統合"", ""通り芯リンク"", ""系統リンク""]","[""PRM_012""]","[""図面間整合""]","[""sheet_outputs"", ""drawing_index"", ""building_context""]","[""space_keys"", ""entity_links"", ""system_graph"", ""conflicts""]","[""SK_OCR_13"", ""SK_OCR_14"", ""SK_OCR_15""]",true
SK_OCR_13,仕様優先順位解決,図面・特記・標準仕様の優先順位で矛盾を解く。,"[""特記優先"", ""図面矛盾解決""]","[""PRM_013""]","[""仕様・優先順位""]","[""drawing_notes"", ""spec_notes"", ""document_priority_context"", ""conflicts""]","[""resolved_specs"", ""unresolved_specs""]","[""SK_OCR_14"", ""SK_OCR_15""]",true
SK_OCR_14,数量拾いマッピング,抽出済み情報を数量拾い・材料拾いの項目へ変換する。,"[""数量拾い"", ""材料拾い"", ""積算連携""]","[""PRM_014""]","[""建築図"", ""構造図"", ""電気設備図"", ""機械設備図"", ""土木・道路・造成図""]","[""linked_entities"", ""resolved_units"", ""project_trade""]","[""quantity_items"", ""missing_measurements""]","[""SK_OCR_15""]",true
SK_OCR_15,QA・例外処理,低信頼・未知語・矛盾・必須不足をレビューキューへ整理する。,"[""図面OCR QA"", ""矛盾確認"", ""レビュー""]","[""PRM_015""]","[""QA・例外処理""]","[""all_outputs"", ""confidence_scores"", ""unknown_terms"", ""conflicts""]","[""review_queue"", ""acceptance_status""]",[],true
